;CustomerID;count;min;max;mean;sum;categ_0;categ_1;categ_2;categ_3;categ_4;LastPurchase;FirstPurchase;cluster
0;12347;5;382,52;711,79;558,172;2790,86;29,83668117;8,676178669;14,52455516;36,51992576;10,44265925;59;297;6
1;12348;4;227,44;892,8;449,31;1797,24;41,95321716;0;0;20,03071376;38,01606908;5;288;7
2;12350;1;334,4;334,4;334,4;334,4;48,44497608;0;27,9007177;11,96172249;11,69258373;240;240;1
3;12352;6;144,35;840,3;345,6633333;2073,98;12,89212046;14,3010058;3,37033144;68,94473428;0,491808021;2;226;0
4;12353;1;89;89;89;89;13,03370787;22,35955056;19,88764045;44,71910112;0;134;134;0
5;12354;1;1079,4;1079,4;1079,4;1079,4;31,17657958;16,23587178;10,82545859;26,8111914;14,95089865;162;162;2
6;12355;1;459,4;459,4;459,4;459,4;53,28689595;0;11,55855464;35,15454941;0;144;144;1
7;12356;2;481,46;2271,62;1376,54;2753,08;28,65699507;13,46419283;12,85469365;30,57666323;14,44745521;175;255;2
8;12358;1;484,86;484,86;484,86;484,86;10,46900136;66,28717568;3,6505383;19,59328466;0;80;80;5
9;12359;3;547,5;1803,11;1153,31;3459,93;9,673606113;26,25342131;11,41352571;48,43161567;4,227831199;119;261;2
10;12360;2;534,7;1083,58;809,14;1618,28;20,36112416;0;24,40615963;45,07872556;10,15399066;42;130;6
11;12361;1;189,9;189,9;189,9;189,9;73,45971564;0;18,64139021;7,898894155;0;217;217;1
12;12362;5;303,76;829,99;510,908;2554,54;35,64633946;6,576526498;20,27762337;31,71216736;5,787343318;2;225;6
13;12363;2;252,9;299,1;276;552;37,5;8,641304348;30,54347826;5,380434783;17,93478261;39;172;6
14;12364;2;79,8;623,92;351,86;703,72;42,03376343;0;4,611209004;16,56198488;36,79304269;8;42;7
15;12365;2;320,69;320,69;320,69;641,38;22,95051296;0;16,55804671;59,70563473;0,785805607;221;221;0
16;12370;3;277,2;1587,07;934,22;2802,66;28,21854952;8,129776712;24,79787059;22,71413586;16,13966732;204;290;6
17;12372;3;383,12;515,7;432,68;1298,04;46,57021355;6,124618656;19,80678562;16,38624388;11,1121383;1;226;1
18;12373;1;364,6;364,6;364,6;364,6;23,53263851;0;46,65386725;15,82556226;13,98793198;241;241;4
19;12375;1;230,3;230,3;230,3;230,3;0;13,80807642;36,12679114;38,99261832;11,07251411;28;28;6
20;12377;2;626,6;1001,52;814,06;1628,12;27,65766651;6,651843844;19,40274673;34,00854974;12,27919318;245;284;2
21;12378;1;4008,62;4008,62;4008,62;4008,62;29,98687828;12,64150755;22,231092;20,06051958;15,08000259;59;59;9
22;12379;2;392,4;457,89;425,145;850,29;32,46539416;8,961648379;28,10100084;20,72234179;9,749614837;11;100;6
23;12380;2;607,55;626,01;616,78;1233,56;22,32562664;6,615000486;44,60747754;19,39913746;7,052757872;8;115;4
24;12381;1;1227,39;1227,39;1227,39;1227,39;23,60292979;12,43288604;22,14536537;33,3634786;8,455340193;49;49;2
25;12383;5;99,45;639,91;367,862;1839,31;29,20008046;8,408044321;8,106300732;28,50525469;25,78031979;114;282;6
26;12384;1;273,58;273,58;273,58;273,58;9,320856788;24,80078953;12,93954236;51,11850281;1,820308502;51;51;0
27;12386;2;143;258,9;200,95;401,9;43,4436427;24,48370241;4,404080617;0;27,66857427;267;296;1
28;12388;5;124,05;902,09;498,852;2494,26;20,75966419;9,122946285;22,33728641;34,18889771;13,59120541;5;256;6
29;12390;1;549,84;549,84;549,84;549,84;19,31470973;10,83951695;11,02138804;37,72006402;21,10432126;9;9;6
30;12393;4;177;521,5;395,65;1582,6;49,43131556;0,938329331;18,25477063;28,41842538;2,957159105;2;262;1
31;12394;1;381,08;381,08;381,08;381,08;61,26797523;5,22200063;4,644694028;25,29652566;3,568804451;147;147;1
32;12395;8;149,97;346,1;235,22125;1881,77;10,84617142;2,74741334;16,63061904;30,5775945;39,19820169;42;301;7
33;12397;1;1214,81;1214,81;1214,81;1214,81;30,97603741;7,20277245;11,54254575;36,93993299;13,3387114;65;65;2
34;12399;4;130,08;480,9;277,1625;1108,65;36,4767961;0;6,788436387;10,7833852;45,95138231;49;191;7
35;12401;1;84,3;84,3;84,3;84,3;0;21,17437722;0;78,82562278;0;233;233;0
36;12402;1;225,6;225,6;225,6;225,6;28,59042553;0;58,11170213;13,29787234;0;253;253;4
37;12405;1;1710,39;1710,39;1710,39;1710,39;9,118388204;21,07121768;20,73269839;36,58229994;12,49539579;78;78;2
38;12406;1;1486,7;1486,7;1486,7;1486,7;31,68964821;4,540256945;26,30927558;32,0205825;5,440236766;113;113;2
39;12407;4;192,34;719,06;351,84;1407,36;35,14878922;11,57486357;8,044849932;20,58108799;24,65040928;64;194;6
40;12408;4;56,9;751,49;525,8;2103,2;22,06637505;4,124191708;35,57864207;26,88997718;11,340814;28;190;6
41;12409;2;4860,64;6196,29;5528,465;11056,93;21,17169956;14,1504016;17,54212064;37,42440261;9,711375581;8;112;9
42;12410;2;68;613,08;340,54;681,08;28,10242556;33,05044929;5,197627298;32,16949551;1,480002349;238;238;5
43;12412;3;336,14;514,5;408,96;1226,88;28,1853156;1,454910016;23,09761346;30,97694966;16,28521127;4;99;6
44;12413;2;84,65;415,3;249,975;499,95;3,96039604;36,85368537;29,5729573;14,93149315;14,68146815;166;267;5
45;12414;3;153,76;242,8;187,47;562,41;27,84445511;8,721395423;8,961433829;42,46012695;12,01258868;147;240;6
46;12415;13;61,2;22775,93;7754,733077;100811,53;28,77073684;8,839782513;15,95549636;32,84795896;13,58602533;29;267;3
47;12417;7;259,39;562,69;395,1671429;2766,17;14,04252089;19,17994917;8,151704342;47,42839377;11,19743183;36;287;0
48;12418;1;668,58;668,58;668,58;668,58;9,692183434;45,44706692;4,494600497;23,37790541;16,98824374;42;42;5
49;12421;3;157,45;239,35;209,52;628,56;26,21070383;8,519473081;13,93661703;33,01196385;18,3212422;44;249;6
50;12422;3;147,7;417,36;267,8533333;803,56;30,12967296;0;35,82806511;26,9363831;7,105878839;25;254;6
51;12423;7;84,92;347,35;234,3528571;1640,47;24,2003816;4,276213524;31,09840473;20,67090529;19,75409486;30;283;6
52;12424;2;294,64;1466,32;880,48;1760,96;20,38887879;2,027303289;40,0576958;36,39492095;1,131201163;92;92;6
53;12425;1;777,2;777,2;777,2;777,2;53,13432836;2,187339166;18,96551724;16,01904272;9,693772517;8;8;1
54;12426;1;582,73;582,73;582,73;582,73;37,54397405;13,7628061;22,13718189;24,37664098;2,179396976;124;124;6
55;12427;1;246,55;246,55;246,55;246,55;24,09247617;32,40721963;21,59805313;21,90225106;0;301;301;6
56;12428;8;373,72;2462,42;933,6075;7468,86;13,4517182;16,82920821;13,7666257;44,2019264;11,7505215;50;213;10
57;12429;3;437,98;1281,5;948,2933333;2844,88;7,89910295;14,45403673;16,81547201;55,26770901;5,563679312;102;295;0
58;12431;11;118,8;640,1;430,5463636;4736,01;36,35401952;27,96024502;12,85153536;18,40895606;4,425244035;49;303;6
59;12432;3;454,6;2862,06;1338,886667;4016,66;14,47222319;28,54735029;11,17246668;35,08263084;10,725329;100;102;2
60;12433;3;1867,98;2608,11;2131,743333;6395,23;30,11744691;10,23809933;18,98821465;17,63814593;23,01809317;21;303;2
61;12434;2;273,05;519,89;396,47;792,94;16,05417812;39,39768457;7,067369536;19,82495523;17,65581255;14;190;5
62;12435;2;3850,9;3978,99;3914,945;7829,89;9,428484947;50,6692942;15,33099443;24,57122642;0;9;197;9
63;12436;1;509,01;509,01;509,01;509,01;0;19,27270584;21,8974087;45,86353903;12,96634644;29;29;0
64;12437;12;65,1;501,64;248,2716667;2979,26;23,07485751;4,474265422;11,42901257;33,37070279;27,6511617;8;261;6
65;12438;1;890,07;890,07;890,07;890,07;32,24465491;9,83630501;15,45721123;26,96417136;15,49765749;70;70;2
66;12441;1;173,55;173,55;173,55;173,55;8,643042351;0;40,7951599;32,41140882;18,15038894;296;296;6
67;12444;3;562,54;1870,2;1063,27;3189,81;15,95455529;23,90581257;11,06931134;47,79124775;1,279073048;15;101;2
68;12447;1;476,49;476,49;476,49;476,49;36,31555751;10,85017524;28,45809986;22,94906504;1,427102353;173;173;6
69;12449;3;777,95;1087,7;908,1933333;2724,58;18,72875819;22,24746566;19,31673873;35,03108736;4,675950055;21;117;2
70;12450;2;96;101,88;98,94;197,88;56,85263796;0;32,95936931;0;10,18799272;86;103;1
71;12451;2;2388,31;2817,51;2602,91;5205,82;37,20412922;6,935506798;22,41145487;10,68899808;22,75991102;148;254;2
72;12453;1;707,09;707,09;707,09;707,09;42,96482767;8,867329477;15,60480278;19,32568697;13,2373531;64;64;2
73;12455;6;15;1683,9;411,1433333;2466,86;27,38704264;4,365874026;12,88682779;15,789303;39,57095255;3;226;7
74;12456;2;940,17;1298,08;1119,125;2238,25;23,70110577;14,19635876;8,80598682;41,40064783;11,89590082;61;184;2
75;12457;6;40;728,83;319,63;1917,78;26,34035187;14,66018;12,94152614;42,72909301;3,328848982;11;169;6
76;12458;2;441,92;505,48;473,7;947,4;46,35845472;5,383153895;12,00126662;27,20075997;9,056364788;1;214;1
77;12461;2;200;626,88;413,44;826,88;19,12490325;30,71787926;4,281153251;41,78357198;4,09249226;24;84;0
78;12462;1;741,31;741,31;741,31;741,31;27,27064251;15,9582361;8,754771958;41,78413889;6,232210546;233;233;2
79;12463;3;291,98;337,84;314,7966667;944,39;44,22219634;3,536674467;22,96508858;17,07980813;12,19623249;105;171;1
80;12464;6;34;213,9;130,0916667;780,55;0;11,97873294;9,8007815;78,22048556;0;36;239;0
81;12465;1;440,94;440,94;440,94;440,94;23,67669071;7,347938495;27,07851408;18,27913095;23,61772577;99;99;6
82;12468;2;220,59;503,45;362,02;724,04;28,00950224;4,613004806;28,2442959;26,84934534;12,28385172;117;246;6
83;12471;21;29,7;1919,44;535,4766667;11245,01;17,48686751;5,252996663;12,27486681;53,34054839;11,64472064;8;294;10
84;12472;5;545,33;1631,3;951,746;4758,73;37,427633;3,631220935;18,03401328;24,35208554;16,55504725;68;299;2
85;12473;2;514,06;585,23;549,645;1099,29;30,21859564;4,693938815;16,76081835;25,00250161;23,32414558;44;121;6
86;12474;13;7,8;776,32;326,9423077;4250,25;34,26221987;2,417504853;26,24504441;18,61419916;18,4610317;28;259;10
87;12476;7;12,45;1406,57;517,5785714;3623,05;20,56940975;10,79753247;14,19963843;48,90216806;5,531251294;14;291;0
88;12477;3;2216,52;4169,58;2914,016667;8742,05;9,731927866;20,31903272;15,98400833;51,98403121;1,98099988;30;231;2
89;12480;3;557,68;816,25;714,9833333;2144,95;28,7577799;7,272896804;19,32912189;32,99144502;11,64875638;73;266;6
90;12481;8;134,82;1001,21;509,975;4079,8;31,40644149;5,420608853;14,96274327;35,30810334;12,90210304;109;295;6
91;12483;6;8,5;507,56;262,5933333;1575,56;20,78245195;0;30,52628907;38,79890325;9,892355734;28;269;6
92;12484;4;140;1241,99;903,05;3612,2;25,00249156;11,03205803;13,36166325;37,84120481;12,76258236;30;266;6
93;12488;1;553,39;553,39;553,39;553,39;14,36599866;20,38345471;18,70290392;44,87793419;1,669708524;5;5;0
94;12489;1;334,93;334,93;334,93;334,93;8,867524557;12,76386111;25,97557699;49,38345326;3,009584092;266;266;0
95;12490;6;331,5;1035,82;592,0983333;3552,59;30,30746582;3,405965788;38,30050752;17,43657444;10,54948643;23;259;6
96;12492;1;126,39;126,39;126,39;126,39;0;0;22,78661286;64,91811061;12,29527653;35;35;0
97;12493;2;201,24;215,55;208,395;416,79;45,20262002;3,047098059;24,49914825;20,08205571;7,169077953;95;127;1
98;12494;5;4,95;403,09;164,972;824,86;16,84528284;6,061634702;43,19399656;27,65317751;6,245908397;91;295;4
99;12497;1;1043,1;1043,1;1043,1;1043,1;41,18492954;0;17,02617199;8,628127696;33,16077078;11;11;2
100;12500;6;185,64;378;295,64;1773,84;76,71492356;7,362558066;3,207730122;12,19388445;0,520903802;36;263;1
101;12501;1;2089,68;2089,68;2089,68;2089,68;24,41426438;12,07361893;16,03355538;22,77621454;24,70234677;266;266;2
102;12502;5;522,6;1092,35;744,774;3723,87;7,959461528;24,66385776;9,552427985;54,18287964;3,641373088;25;239;0
103;12506;1;73,5;73,5;73,5;73,5;10,27210884;37,82312925;22,38095238;26,05442177;3,469387755;162;162;5
